目標圖像,目標文字,檢測狀態,識別文字,信心度,"位置(x,y)",尺寸(w×h)
Label.png,ASSEMBLED IN VIETNAM,成功,ASSEMBLED IN VIETNAM,0.917,"(99, 383)",206×20
Label.png,AC ADAPTER,成功,AC ADAPTER,1.000,"(21, 265)",108×20
Label.png,MODEL (MODELO) NO. LA24BN,失敗,N/A,N/A,N/A,N/A
Label.png,INPUT (ENTRADA): 100-240V~1.0A 50/60Hz,失敗,N/A,N/A,N/A,N/A
Label.png,OUTPUT (SALIDA): 18.0V 1.67A 30.0W,成功,OUTPUT (SALIDA): 18.0V =1.67A 30.OW & €,0.377,"(11, 325)",362×20
Label.png,VPPCCCUUYWWD####,成功,VPPCCCUUYWWD####,0.837,"(107, 403)",190×20
Label.png,CAN ICES(B)/NMB(B),失敗,N/A,N/A,N/A,N/A
Label.png,EFICIENCIA ENERGÉTICA,成功,CAN ICES(B)INMB(B) EFICIENCIA ENERGÉTICA,0.969,"(12, 341)",379×26
Label.png,CUMPLE CON LA NOM-029-ENER-2017,成功,CUMPLE CON LA NOM-029-ENER-2017,0.994,"(39, 363)",310×20
Label.png,AMAZON.COM SERVICES LLC,成功,AMAZON COM SERVICES LLC,0.670,"(144, 264)",241×21
Label.png,CAUTION-ELECTRICALLY OPERATED PRODUCT,成功,CAUTION-ELECTRICALLY OPERATED   PRODUCT,0.611,"(1, 285)",400×20
Label.png,ATTENTION-PRODUIT À COMMANDE ÉLECTRIQUE,成功,ATTENTION-PRODUIT À COMMANDE ÉLECTRIQUE,0.983,"(0, 302)",403×24
